use_cgm,err_tol,max_cgm_iters,n_trials
False,None,None,10
Precond,None,1,10
Precond,None,2,10
Precond,None,3,10
Precond,None,4,10
Precond,None,5,10
Precond,None,6,10
Precond,None,7,10
Precond,None,8,10
Precond,None,9,10
Precond,None,10,10
